state,parlimen,Total_Voters,Total_Undi_18,Total_Youth,Total_Senior_Citizen,Total_Early_Voter,ratio_undi_18,ratio_youth,ratio_senior_citizen,ratio_early_voter
Kelantan,P.019 Tumpat,149371,10406,45222,23944,408,0.06966546384505694,0.302749529694519,0.1602988531910478,0.0027314538966733836
Kelantan,P.020 Pengkalan Chepa,106982,8303,35988,13398,2630,0.0776111869286422,0.33639303808117255,0.12523602101288067,0.024583574806976875
Kelantan,P.021 Kota Bharu,115450,6293,30377,22075,855,0.05450844521437852,0.2631182330012993,0.19120831528800347,0.007405803378085752
Kelantan,P.022 Pasir Mas,94544,6176,27664,16101,122,0.06532408190895245,0.29260450160771706,0.17030165848705364,0.0012904044677610426
Kelantan,P.023 Rantau Panjang,93248,6561,28420,15574,399,0.07036075840768703,0.3047786547700755,0.16701698695950584,0.004278912148249828
Kelantan,P.024 Kubang Kerian,113640,8571,37463,16219,98,0.07542238648363252,0.3296638507567758,0.14272263287574796,0.0008623724040830693
Kelantan,P.025 Bachok,123183,9142,38883,17176,250,0.07421478613120316,0.3156523221548428,0.1394348246105388,0.0020295008239773343
Kelantan,P.026 Ketereh,85281,5925,26375,12105,3056,0.06947620220213177,0.3092717017858609,0.1419425194357477,0.03583447661261008
Kelantan,P.027 Tanah Merah,98782,6763,29943,14572,280,0.0684638901824219,0.3031220262800915,0.14751675406450568,0.002834524508513697
Kelantan,P.028 Pasir Puteh,113070,8159,35163,16799,262,0.07215883965684974,0.3109843459803662,0.14857168125939682,0.002317148668966127
Kelantan,P.029 Machang,88825,5836,26314,13932,268,0.06570222347312131,0.29624542640022516,0.15684773430903462,0.003017168589924008
Kelantan,P.030 Jeli,59798,3966,18110,8614,1896,0.06632328840429445,0.3028529382253587,0.1440516405230944,0.031706746045018226
Kelantan,P.031 Kuala Krai,92335,6531,28674,13177,280,0.07073157524232415,0.31054313099041536,0.14270861536795365,0.0030324362376130394
Kelantan,P.032 Gua Musang,70254,5797,24793,8884,257,0.08251487459788766,0.352905172659208,0.12645543314259686,0.0036581546958180315
Terengganu,P.033 Besut,111650,8306,36328,14184,1752,0.07439319301388267,0.32537393640841916,0.1270398566950291,0.015691894312583967
Terengganu,P.034 Setiu,107294,7557,33967,13417,316,0.07043264301824892,0.31657874624862525,0.125048930974705,0.0029451786679590658
Terengganu,P.035 Kuala Nerus,105952,7771,34436,13095,1597,0.07334453337360314,0.3250151011778919,0.1235937028088191,0.0150728631833283
Terengganu,P.036 Kuala Terengganu,123305,6860,32229,21240,1403,0.05563440249787113,0.2613762621142695,0.17225578849195086,0.011378289607071894
Terengganu,P.037 Marang,131756,9568,41847,17244,743,0.07261908376089135,0.31760982422052886,0.13087829017274355,0.005639211876498983
Terengganu,P.038 Hulu Terengganu,87917,5467,25200,12855,232,0.06218365048852895,0.2866339843261258,0.1462174550996963,0.002638852554113539
Terengganu,P.039 Dungun,115559,8699,36999,14484,595,0.07527756384184703,0.32017411019479225,0.12533857163873,0.005148884985159096
Terengganu,P.040 Kemaman,139423,10894,44382,18124,387,0.0781363189717622,0.3183262445937901,0.1299928993064272,0.0027757256693658867
Pulau Pinang,P.041 Kepala Batas,83081,6227,25605,13561,686,0.07495095148108473,0.3081932090369639,0.16322624908222097,0.008257002202669684
Pulau Pinang,P.042 Tasek Gelugor,80868,5285,23326,13467,2607,0.06535341544244942,0.2884453677598061,0.16653064252856506,0.03223772073007865
Pulau Pinang,P.043 Bagan,89447,4303,18893,22254,179,0.048106700057017004,0.21122005209789038,0.24879537603273447,0.0020011850593088646
Pulau Pinang,P.044 Permatang Pauh,107186,6746,29101,19650,762,0.06293732390424123,0.27150000932957663,0.18332618065792175,0.007109137387345362
