state,parlimen,dun,total,male_18_20,female_18_20,total_18_20,ratio_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90+,female_90+,votertype_regular,votertype_early_army,votertype_early_police,votertype_postal_overseas,total_ge14,votertype_early,Total#
Terengganu,P.038 Hulu Terengganu,N.21 Telemung,21369,680,621,1301,0.06088258692498479,2566,2423,2952,2811,1836,1862,1132,1258,922,1017,426,486,100,215,20,42,21362,0,6,1,17868.0,6,87917
Terengganu,P.039 Dungun,N.25 Bukit Besi,18102,603,609,1212,0.06695392774279085,2124,2142,2418,2204,1632,1621,1226,1195,651,722,276,429,92,129,5,24,18055,0,46,1,14493.0,46,115559
Terengganu,P.040 Kemaman,N.29 Kemasik,28315,1097,1048,2145,0.0757549002295603,3398,3299,3766,3662,2661,2416,1652,1726,1267,1243,438,396,95,119,14,18,28279,0,33,3,22132.0,33,139423
Pulau Pinang,P.041 Kepala Batas,N.01 Penaga,25229,960,897,1857,0.07360577113639066,2940,2926,2420,2538,2231,2309,1994,2070,1087,1219,508,709,135,232,21,33,25229,0,0,0,19089.0,0,83081
Pulau Pinang,P.042 Tasek Gelugor,N.04 Permatang Berangan,28229,1041,1032,2073,0.07343511991214709,3290,3323,3070,3092,2289,2538,1842,2099,1230,1497,620,769,180,260,22,35,28189,0,38,2,21120.0,38,80868
Pulau Pinang,P.043 Bagan,N.07 Sungai Puyu,35765,962,946,1908,0.053348245491402206,3273,3009,3466,3377,3354,3392,3099,3109,2262,2426,1053,1234,272,435,33,63,35764,0,0,1,27671.0,0,89447
Pulau Pinang,P.044 Permatang Pauh,N.10 Seberang Jaya,48832,1679,1608,3287,0.06731241808650065,5439,5290,5462,5021,4157,4562,3429,3715,2541,3019,1071,1295,172,311,25,36,48101,0,726,5,35541.0,726,107186
Pulau Pinang,P.045 Bukit Mertajam,N.13 Berapit,29059,618,606,1224,0.042121201693107124,2184,2180,2598,2579,2546,2582,2508,2486,2174,2453,1156,1430,308,512,55,84,29044,0,12,3,23779.0,12,120819
Pulau Pinang,P.046 Batu Kawan,N.16 Perai,20567,463,397,860,0.04181455730052998,1519,1509,1968,1929,1769,1855,1705,1855,1432,1818,789,934,200,292,67,66,20522,0,45,0,17032.0,45,88812
Pulau Pinang,P.047 Nibong Tebal,N.19 Jawi,36350,1128,1069,2197,0.06044016506189821,3988,3728,3853,3641,3212,3366,2779,3042,1768,2032,882,1119,242,381,51,69,35855,0,492,3,26699.0,492,100062
Pulau Pinang,P.048 Bukit Bendera,N.22 Tanjong Bunga,29289,686,708,1394,0.04759466011130459,2521,2374,2556,2517,2426,2604,2361,2591,1905,2290,1129,1488,392,539,73,129,29031,180,72,6,21768.0,252,92521
Pulau Pinang,P.049 Tanjong,N.26 Padang Kota,15373,151,148,299,0.019449684511806415,603,526,807,731,1127,944,1462,1352,1739,1733,1054,1197,423,571,543,262,15267,46,60,0,14476.0,106,52803
Pulau Pinang,P.050 Jelutong,N.29 Datok Keramat,26886,509,460,969,0.036041062262887745,2001,1757,2618,2213,2313,2304,2311,2492,2005,2355,1009,1469,294,536,113,127,26037,0,847,2,22630.0,847,93989
Pulau Pinang,P.051 Bukit Gelugor,N.32 Seri Delima,31562,702,712,1414,0.044800709714213294,2426,2201,2750,2612,2857,2929,2384,2808,1842,2523,1304,1927,516,801,91,177,31482,67,0,13,25232.0,67,117134
Pulau Pinang,P.052 Bayan Baru,N.35 Batu Uban,43132,1233,1112,2345,0.054367986645645926,4194,3968,4465,4529,3872,4119,3040,3629,2384,2911,1196,1552,317,493,42,76,42818,58,243,13,31924.0,301,119640
Pulau Pinang,P.053 Balik Pulau,N.38 Bayan Lepas,38866,1567,1414,2981,0.07669942880666906,4765,4510,4145,3849,3157,3362,2837,2997,1874,2177,775,880,177,297,39,44,38716,0,144,6,26570.0,144,80264
Perak,P.054 Gerik,N.01 Pengkalan Hulu,20157,638,620,1258,0.06241008086520811,2699,2150,2659,2372,1756,1516,1308,1299,1017,953,363,442,113,179,33,40,18494,839,823,1,15369.0,1662,47565
Perak,P.055 Lenggong,N.03 Kenering,21596,654,620,1274,0.05899240600111132,2261,2298,2897,2857,1996,1703,1347,1299,1044,1154,504,584,115,199,31,33,21583,0,12,1,16965.0,12,36950
Perak,P.056 Larut,N.05 Selama,22339,708,687,1395,0.06244684184609875,2547,2530,2539,2537,1920,1702,1510,1588,1131,1252,453,697,160,306,23,49,22148,0,190,1,16483.0,190,65719
Perak,P.057 Parit Buntar,N.08 Titi Serong,35900,1107,1073,2180,0.060724233983286906,3766,3728,4059,3879,3457,3247,2684,2612,1646,2028,751,1184,188,364,56,71,35859,0,38,3,26726.0,38,68502
Perak,P.058 Bagan Serai,N.10 Alor Pongsu,28656,972,938,1910,0.06665270798436627,3164,2945,3194,3148,2534,2487,2131,2106,1400,1584,587,900,152,300,53,61,28636,0,18,2,20901.0,18,80293
Perak,P.059 Bukit Gantang,N.13 Kuala Sepetang,40222,1220,1199,2419,0.060141216249813535,4282,4471,4499,4469,3449,3221,3008,2868,2322,2428,984,1123,191,378,32,78,40201,0,20,1,29294.0,20,94253
Perak,P.060 Taiping,N.16 Kamunting,39850,1027,997,2024,0.05079046424090339,4433,3926,5157,5132,3300,3204,2353,2766,2038,2500,970,1246,256,429,53,63,36730,3076,38,6,30000.0,3114,121566
Perak,P.061 Padang Rengas,N.19 Chenderoh,17782,443,407,850,0.04780114722753346,1703,1616,1978,1940,1594,1516,1357,1323,982,1173,502,650,176,323,30,69,17758,0,23,1,14420.0,23,38686
Perak,P.062 Sungai Siput,N.21 Lintang,33107,1032,1059,2091,0.0631588485818709,3418,3426,3584,3468,2939,2780,2528,2315,1750,2043,884,1026,267,456,59,73,33064,0,42,1,25389.0,42,72395
Perak,P.063 Tambun,N.23 Manjoi,86266,3165,3057,6222,0.07212575058539865,9885,9965,9580,9605,7313,7550,5543,5907,4161,4998,1969,2343,421,633,71,100,86205,0,49,12,57817.0,49,160558
Perak,P.064 Ipoh Timor,N.25 Canning,41021,604,558,1162,0.02832695448672631,2487,2385,3550,3111,3799,3563,3262,3602,2812,3578,2094,2797,930,1372,185,332,40092,593,316,20,32215.0,909,118178
