state,parlimen,peratus_keluar,rosak_vs_keseluruhan
Pulau Pinang,P.041 Kepala Batas,84.43567121243125,1.2088382038488952
Pulau Pinang,P.042 Tasek Gelugor,83.82796656279369,1.0001475143826524
Pulau Pinang,P.043 Bagan,77.71753105190783,1.240002301628402
Pulau Pinang,P.044 Permatang Pauh,82.33724553579759,0.9132730527794772
Pulau Pinang,P.045 Bukit Mertajam,77.5498886764499,1.013928171193767
Pulau Pinang,P.046 Batu Kawan,78.5468179975679,1.3302942989435054
Pulau Pinang,P.047 Nibong Tebal,80.42713517619077,1.4525889384544652
Pulau Pinang,P.048 Bukit Bendera,68.5293068600642,1.4431266166172485
Pulau Pinang,P.049 Tanjong,72.23263829706646,1.200807529954642
Pulau Pinang,P.050 Jelutong,76.34191235144539,1.4577787688319652
Pulau Pinang,P.051 Bukit Gelugor,74.27049362268855,1.0609683203825464
Pulau Pinang,P.052 Bayan Baru,76.24289535272484,1.654296896411853
Pulau Pinang,P.053 Balik Pulau,80.90426592245589,1.5799929162110968
Perak,P.054 Gerik,74.3403763271313,2.1153846153846154
Perak,P.055 Lenggong,76.28958051420838,1.8092163609918763
Perak,P.056 Larut,80.2872837383405,1.684860890000758
Perak,P.057 Parit Buntar,78.24005138536101,1.2930069408164788
Perak,P.058 Bagan Serai,79.11150411617452,1.555391130492278
Perak,P.059 Bukit Gantang,77.16995745493513,1.6058293806283084
Perak,P.060 Taiping,70.8553378411727,1.5870251694993964
Perak,P.061 Padang Rengas,78.36426614279067,1.4447816334608787
Perak,P.062 Sungai Siput,72.82961530492437,2.040777619724988
Perak,P.063 Tambun,78.75284943758642,1.324697099111069
Perak,P.064 Ipoh Timor,68.40444075885529,1.3100112569428124
Perak,P.065 Ipoh Barat,69.17682767282433,1.2078573770078422
Perak,P.066 Batu Gajah,67.86212197040109,1.290577467570949
Perak,P.067 Kuala Kangsar,77.10758752793446,1.311104363907367
Perak,P.068 Beruas,67.88330608134949,1.7827252561817015
Perak,P.069 Parit,79.66607534175103,1.6425652310594154
Perak,P.070 Kampar,67.18913386877878,1.6771800857630093
Perak,P.071 Gopeng,73.0907648078409,1.2971428571428572
Perak,P.072 Tapah,73.51079972879604,2.3189933460702283
Perak,P.073 Pasir Salak,77.87081499712417,2.050947317793772
Perak,P.074 Lumut,78.1654691735146,2.077829150154117
Perak,P.075 Bagan Datuk,73.38054070776687,1.965101299918023
Perak,P.076 Teluk Intan,74.66923482607599,1.4340990050362363
Perak,P.077 Tanjong Malim,75.55740202188062,1.772219715768103
Pahang,P.078 Cameron Highlands,74.29378531073446,2.705469435507458
Pahang,P.079 Lipis,77.12206094559035,1.3427620174449
Pahang,P.080 Raub,76.05243525524885,1.4941844170403589
Pahang,P.081 Jerantut,77.85550998839761,1.5050019181396996
Pahang,P.082 Indera Mahkota,78.34656446756091,1.1297460982995575
Pahang,P.083 Kuantan,78.21614895487289,1.0990294096183315
Pahang,P.084 Paya Besar,78.71187800963082,1.2506372673974
Pahang,P.085 Pekan,79.21602772870742,1.6667018960451498
Pahang,P.086 Maran,78.42380665562415,1.375255010200408
Pahang,P.087 Kuala Krau,80.03039463468623,1.4345277410832231
Pahang,P.088 Temerloh,78.26713720057288,1.1661005597282688
Pahang,P.089 Bentong,77.47938156171747,1.178615904643302
Pahang,P.090 Bera,77.90366813014201,1.5849405853868146
Pahang,P.091 Rompin,76.55361209904522,1.9140298682455703
Selangor,P.092 Sabak Bernam,80.3832664845279,1.224538989996384
Selangor,P.093 Sungai Besar,80.13730545804728,1.0156219715470791
Selangor,P.094 Hulu Selangor,80.40850975589208,1.3232971213049225
Selangor,P.095 Tanjong Karang,83.40354375020098,1.2858574953732265
Selangor,P.096 Kuala Selangor,85.17158648288992,1.3730968808804245
Selangor,P.097 Selayang,80.62675237827685,1.0166087081280872
Selangor,P.098 Gombak,80.79895909917579,0.9703855801061976
Selangor,P.099 Ampang,79.0649767030728,1.0582963040162203
Selangor,P.100 Pandan,78.3137228534929,0.7040076925718602
Selangor,P.101 Hulu Langat,82.88636445339182,1.1204360303312877
Selangor,P.102 Bangi,81.33506904393106,1.0146072651390832
Selangor,P.103 Puchong,80.09695082460536,1.2153188986989227
